state,vehicle_type_code,count,source_file
Punjab,MPV,1.0,RS_Session_258_AU_91_1.csv
Rajasthan,MPV,,RS_Session_258_AU_91_1.csv
Sikkim,MPV,,RS_Session_258_AU_91_1.csv
Tamil Nadu,MPV,,RS_Session_258_AU_91_1.csv
Tripura,MPV,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,MPV,,RS_Session_258_AU_91_1.csv
Uttar Pradesh,MPV,51.0,RS_Session_258_AU_91_1.csv
Uttarakhand,MPV,1.0,RS_Session_258_AU_91_1.csv
West Bengal,MPV,49.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,MGV,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,MGV,,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,MGV,,RS_Session_258_AU_91_1.csv
Assam,MGV,,RS_Session_258_AU_91_1.csv
Bihar,MGV,1.0,RS_Session_258_AU_91_1.csv
Chandigarh,MGV,,RS_Session_258_AU_91_1.csv
Chhattisgarh,MGV,,RS_Session_258_AU_91_1.csv
Delhi,MGV,,RS_Session_258_AU_91_1.csv
Goa,MGV,,RS_Session_258_AU_91_1.csv
Gujarat,MGV,6.0,RS_Session_258_AU_91_1.csv
Haryana,MGV,,RS_Session_258_AU_91_1.csv
Himachal Pradesh,MGV,1.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,MGV,,RS_Session_258_AU_91_1.csv
Jharkhand,MGV,,RS_Session_258_AU_91_1.csv
Karnataka,MGV,4.0,RS_Session_258_AU_91_1.csv
Kerala,MGV,,RS_Session_258_AU_91_1.csv
Ladakh,MGV,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,MGV,,RS_Session_258_AU_91_1.csv
Maharashtra,MGV,,RS_Session_258_AU_91_1.csv
Manipur,MGV,1.0,RS_Session_258_AU_91_1.csv
Meghalaya,MGV,1.0,RS_Session_258_AU_91_1.csv
Mizoram,MGV,,RS_Session_258_AU_91_1.csv
Nagaland,MGV,,RS_Session_258_AU_91_1.csv
Odisha,MGV,1.0,RS_Session_258_AU_91_1.csv
Puducherry,MGV,,RS_Session_258_AU_91_1.csv
Punjab,MGV,2.0,RS_Session_258_AU_91_1.csv
Rajasthan,MGV,,RS_Session_258_AU_91_1.csv
Sikkim,MGV,,RS_Session_258_AU_91_1.csv
Tamil Nadu,MGV,4.0,RS_Session_258_AU_91_1.csv
Tripura,MGV,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,MGV,,RS_Session_258_AU_91_1.csv
Uttar Pradesh,MGV,,RS_Session_258_AU_91_1.csv
Uttarakhand,MGV,,RS_Session_258_AU_91_1.csv
West Bengal,MGV,1.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,HPV,40.0,RS_Session_258_AU_91_1.csv
Andhra Pradesh,HPV,,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,HPV,,RS_Session_258_AU_91_1.csv
Assam,HPV,15.0,RS_Session_258_AU_91_1.csv
Bihar,HPV,27.0,RS_Session_258_AU_91_1.csv
Chandigarh,HPV,73.0,RS_Session_258_AU_91_1.csv
Chhattisgarh,HPV,,RS_Session_258_AU_91_1.csv
Delhi,HPV,416.0,RS_Session_258_AU_91_1.csv
Goa,HPV,51.0,RS_Session_258_AU_91_1.csv
Gujarat,HPV,364.0,RS_Session_258_AU_91_1.csv
Haryana,HPV,6.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,HPV,74.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,HPV,40.0,RS_Session_258_AU_91_1.csv
Jharkhand,HPV,1.0,RS_Session_258_AU_91_1.csv
Karnataka,HPV,370.0,RS_Session_258_AU_91_1.csv
Kerala,HPV,50.0,RS_Session_258_AU_91_1.csv
Ladakh,HPV,8.0,RS_Session_258_AU_91_1.csv
Madhya Pradesh,HPV,,RS_Session_258_AU_91_1.csv
Maharashtra,HPV,890.0,RS_Session_258_AU_91_1.csv
Manipur,HPV,,RS_Session_258_AU_91_1.csv
